,time,obj,rows,iter,type
0,0.13925909996032715,398.0,86,365.0,integer
1,0.38243889808654785,564.0,186,475.0,integer
2,4.137235879898071,907.0,286,3720.0,integer
3,4.021076917648315,1196.0,386,8973.0,integer
4,7.383803844451904,1645.0,486,13792.0,integer
5,9.4982430934906,1807.0,586,12784.0,integer
6,16.072633981704712,2071.0,686,20397.0,integer
7,41.26728582382202,2383.0,786,45017.0,integer
0,0.7521800994873047,398.0,86,179.0,fractional
1,5.03938102722168,564.0,186,1017.0,fractional
2,8.240689992904663,907.0,286,3120.0,fractional
3,73.40312385559082,1196.0,386,7771.0,fractional
4,54.48433995246887,1645.0,486,9642.0,fractional
5,78.41373705863953,1807.0,586,14346.0,fractional
6,300.0,0.0,0,0.0,fractional
7,72.65903806686401,2383.0,786,41738.0,fractional
